8월 최종 예상 (4주 누적 + 8/31 스냅샷)

순위   닉네임              4주누적    8/31주       합계
1    낚시의왕              851      252     1103
2    아레투사              777      294     1071
3    빨강테리              716      288     1004
4    비상                460      116      576
5    미르페스카             423       46      469
6    청림                423        0      423
7    백두무궁              260      135      395
8    후야                140      211      351
9    붕어야놀자              70      125      195
10   달빛둠벙               73       99      172
11   따다기                72      100      172
12   꿀이다                98        0       98
13   붕미사 콩닥콩닥           69        0       69
14   참참참                65        0       65
15   세잎크로바              58        0       58
