■ 8월 랭킹전 추첨 모집단 (2026-08-31 23:5x 확정 스냅샷)

  전체 가입자           211명
  8월에 플레이한 사람    100명
  - GM 계정 제외         3명 (캠피싱, GM테스터1, 미르페스카)
  - 1~3위 지정상품 제외   3명 (낚시의왕, 아레투사, 빨강테리)
  ────────────────────────────
  추첨 모집단           94명  → 10명 당첨 (10.6%)

■ 모집단 명단 (경험치 순)

  1. 비상              마지막플레이 2026-08-30   EXP 159259
  2. 후야              마지막플레이 2026-08-30   EXP 153883
  3. 붕어야놀자           마지막플레이 2026-08-31   EXP 133725
  4. 달빛둠벙            마지막플레이 2026-08-30   EXP 131450
  5. 따다기             마지막플레이 2026-08-30   EXP 131315
  6. 백두무궁            마지막플레이 2026-08-30   EXP 116125
  7. 낚시신동            마지막플레이 2026-08-31   EXP 93956
  8. 세잎크로바           마지막플레이 2026-08-30   EXP 93118
  9. 네잎크로버           마지막플레이 2026-08-30   EXP 90093
 10. 청림              마지막플레이 2026-08-30   EXP 86729
 11. 다온파파            마지막플레이 2026-08-24   EXP 75961
 12. 꿀이다             마지막플레이 2026-08-30   EXP 72593
 13. 비비안리            마지막플레이 2026-08-30   EXP 67502
 14. 강땅콩             마지막플레이 2026-08-30   EXP 56984
 15. 나아타             마지막플레이 2026-08-21   EXP 47437
 16. 한라삼천            마지막플레이 2026-08-30   EXP 41563
 17. 따다기 찌올림         마지막플레이 2026-08-30   EXP 38793
 18. 우정사랑            마지막플레이 2026-08-23   EXP 36019
 19. 카피바라            마지막플레이 2026-08-29   EXP 31594
 20. 붉은전차            마지막플레이 2026-08-18   EXP 28720
 21. 길동이             마지막플레이 2026-08-06   EXP 26798
 22. 신조교             마지막플레이 2026-08-28   EXP 25585
 23. 예술이야            마지막플레이 2026-08-29   EXP 22615
 24. 금강              마지막플레이 2026-08-29   EXP 19623
 25. 캣츠걸             마지막플레이 2026-08-30   EXP 18205
 26. 참참참             마지막플레이 2026-08-04   EXP 17699
 27. 갬성              마지막플레이 2026-08-16   EXP 16203
 28. 월몽              마지막플레이 2026-08-28   EXP 14071
 29. 간지              마지막플레이 2026-08-26   EXP 11111
 30. 한반도             마지막플레이 2026-08-09   EXP 9004
 31. 빨간해마            마지막플레이 2026-08-29   EXP 6466
 32. 밤도깨비            마지막플레이 2026-08-16   EXP 5812
 33. 사짜붕애            마지막플레이 2026-08-08   EXP 5003
 34. 논산강태공           마지막플레이 2026-08-17   EXP 4993
 35. 수초              마지막플레이 2026-08-10   EXP 4320
 36. 귀신고래            마지막플레이 2026-08-27   EXP 4064
 37. 붕미사 콩닥콩닥        마지막플레이 2026-08-10   EXP 3328
 38. 소쿠리             마지막플레이 2026-08-06   EXP 3280
 39. 류한재형            마지막플레이 2026-08-05   EXP 3246
 40. 왕초              마지막플레이 2026-08-05   EXP 3135
 41. 의성우조사           마지막플레이 2026-08-28   EXP 2503
 42. 파란독도새우          마지막플레이 2026-08-23   EXP 2417
 43. 찌네마천국           마지막플레이 2026-08-06   EXP 2265
 44. 박야매             마지막플레이 2026-08-05   EXP 2198
 45. 세종꽝조사           마지막플레이 2026-08-07   EXP 2160
 46. 짭조사             마지막플레이 2026-08-07   EXP 2132
